2017/11/15 14:31:16	选择了地图:高德卫星地图
2017/11/15 14:31:16	选择了地图:高德卫星地图
2017/11/15 14:31:16	显示航迹...
2017/11/15 14:31:17	端口：COM4波特率:19200串口打开成功...
2017/11/15 14:31:20	切换进入了:增稳模式
2017/11/15 14:31:50	选择了地图跟随...
2017/11/15 14:32:56	设置家:LAT:23.0432864 LNG:113.4691456
2017/11/15 14:32:56	设置起飞坐标 完成!
2017/11/15 14:34:00	点击了上传航点按钮，正准备发送航点...
2017/11/15 14:34:08	切换进入了:手动模式
2017/11/15 14:34:15	已断开串口连接
2017/11/15 14:34:22	端口：COM4波特率:19200串口打开成功...
2017/11/15 14:34:26	点击了下载航点按钮，正准备下载航点...
2017/11/15 14:34:41	取消了地图跟随...
2017/11/15 14:34:42	选择了地图跟随...
2017/11/15 14:35:02	点击了下载航点按钮，正准备下载航点...
2017/11/15 14:35:08	已断开串口连接
2017/11/15 14:35:08	GCS正常关闭...
2017/11/15 14:35:08	GCS正常关闭...
